ACCESS-ESM1-5,CESM2,GFDL-ESM4,GISS,NorESM2-LM,MPI-ESM1-2-LR,CNRM-ESM2-1,UKESM,UVic-ESCM-2-10,HadCM3LC-Bris
289.34045,284.584088787571,285.5877,286.5994873046875,284.2613361752782,[284.9072],287.68964118989413,290.9604,287.958,282.43081826280473
293.38358,288.69133572099435,289.96948,290.90478515625,287.41236465378813,[288.40778],292.0988038717656,294.4771,292.8773,285.6524225020911
297.0186,292.52586852085994,293.02606,294.8922119140625,290.736813556457,[292.492],296.5865025631391,297.726,297.44217,289.46587547168883
300.75018,295.9073120906501,296.1413,297.89385986328125,294.1992662319876,[296.45483],300.36911368096787,300.696,301.68692,292.448046251639
304.32303,299.1987462484886,299.53485,301.38238525390625,297.7111421630845,[298.98688],304.250018137869,303.4035,305.67148,295.4091231878947
307.90457,302.22583200785505,303.20776,305.28515625,300.93588589616445,[302.1507],307.30576605000994,306.7748,309.4279,298.79621703501795
310.92294,305.4067493549892,306.50037,308.7112121582031,304.05214007998086,[306.0027],310.54269895349563,310.0094,313.0105,301.28841189311987
313.52588,308.6063894269792,309.76266,311.5931091308594,307.16730248705994,[309.2145],313.833804477182,312.6173,316.429,303.5196455435501
316.44827,311.5247211960907,311.38596,314.4814453125,310.0783647994315,[311.069],316.777053163675,315.2789,319.71506,305.4608983045767
319.4505,313.9774021982013,315.12445,317.9770202636719,313.1987206069857,[313.63373],319.5433266092554,317.8519,322.88635,307.6238096361512
321.399,316.7844465969862,317.9194,320.949462890625,316.3089009827123,[316.24435],322.0797862731963,320.6868,325.96164,310.6606057857523
323.0913,319.8014022451234,319.72226,323.32135009765625,318.98568527033996,[318.9951],325.0801739862518,323.7989,328.9326,313.3566337446022
325.24896,322.5570483695915,320.9174,325.95428466796875,321.5798421386951,[322.3281],327.5110106306374,325.997,331.83838,315.5770455965667
327.03635,325.0205215539006,323.98538,329.07452392578125,324.6538097874312,[324.99506],329.7182238744586,328.0681,334.6807,317.44229843070025
328.47308,327.7083909615517,327.57852,331.51971435546875,327.17192408917526,[326.8968],332.1337557592946,330.7328,337.47702,320.0591819592996
330.87366,330.296597859606,329.9161,333.827392578125,329.5078800002529,[328.77383],334.6124801859955,333.2834,340.21796,322.8460847769623
332.68112,332.9312159944648,332.82004,336.59918212890625,332.05764874422636,[330.60837],336.8013176335227,335.2665,342.92307,324.4065654151755
334.79266,335.35823954038733,334.78796,339.95501708984375,334.55993733985,[332.874],339.3733189975798,337.7466,345.5774,325.09056827098993
337.3844,338.1080661984398,337.6087,342.82037353515625,337.004002002117,[335.18817],341.70037179472666,340.9892,348.19122,327.16127554628656
